date,rr_bmkg,rr_meteo,diff
2024-01-11,28.8,4.5,-24.3
2024-01-12,0.0,8.5,8.5
2024-01-13,61.7,19.8,-41.900000000000006
2024-01-14,34.0,4.9,-29.1
2024-01-15,21.8,18.8,-3.0
2024-01-16,15.1,15.1,0.0
2024-01-17,2.4,10.1,7.699999999999999
2024-01-18,48.8,28.5,-20.299999999999997
2024-01-19,1.0,9.6,8.6
2024-01-20,1.6,5.4,3.8000000000000003
2024-01-21,38.5,24.0,-14.5
2024-01-22,132.2,17.7,-114.49999999999999
2024-01-23,0.0,2.0,2.0
2024-01-24,13.4,5.3,-8.100000000000001
2024-01-25,0.4,1.9,1.5
2024-01-26,0.0,8.0,8.0
2024-01-27,11.0,6.7,-4.3
2024-01-28,0.0,3.8,3.8
2024-01-29,2.9,6.1,3.1999999999999997
2024-01-30,20.0,17.6,-2.3999999999999986
2024-01-31,18.0,21.0,3.0
2024-02-01,18.3,22.4,4.099999999999998
2024-02-02,1.6,5.6,3.9999999999999996
2024-02-03,8.4,6.4,-2.0
2024-02-04,0.6,3.5,2.9
2024-02-05,4.8,8.2,3.3999999999999995
2024-02-06,0.6,1.0,0.4
2024-02-07,0.2,2.2,2.0
2024-02-08,0.2,2.6,2.4
2024-02-09,0.0,14.3,14.3
2024-02-10,13.4,6.6,-6.800000000000001
