dt,date,pressure,wind_speed,wind_gust
1672506000,2022-12-31 17:00:00+00:00,1015.2,12.801562,18.0
1672509600,2022-12-31 18:00:00+00:00,1014.5,12.433825,16.7
1672513200,2022-12-31 19:00:00+00:00,1014.0,11.923087,16.2
1672516800,2022-12-31 20:00:00+00:00,1013.6,11.321662,15.5
1672520400,2022-12-31 21:00:00+00:00,1013.9,10.955365,14.7
1672524000,2022-12-31 22:00:00+00:00,1014.2,10.94806,14.3
1672527600,2022-12-31 23:00:00+00:00,1014.5,11.879393,15.2
1672531200,2023-01-01 00:00:00+00:00,1015.2,11.650322,15.4
1672534800,2023-01-01 01:00:00+00:00,1016.0,10.462313,14.8
1672538400,2023-01-01 02:00:00+00:00,1016.3,10.373042,14.0
1672542000,2023-01-01 03:00:00+00:00,1016.5,9.93227,13.2
1672545600,2023-01-01 04:00:00+00:00,1015.9,10.080179,13.3
1672549200,2023-01-01 05:00:00+00:00,1015.2,9.64002,12.8
1672552800,2023-01-01 06:00:00+00:00,1014.1,9.730879,12.399999
1672556400,2023-01-01 07:00:00+00:00,1013.6,9.295698,12.5
1672560000,2023-01-01 08:00:00+00:00,1013.3,9.295698,11.9
1672563600,2023-01-01 09:00:00+00:00,1013.4,9.0609045,11.8
1672567200,2023-01-01 10:00:00+00:00,1013.8,9.7,12.3
1672570800,2023-01-01 11:00:00+00:00,1014.6,10.080179,12.6
1672574400,2023-01-01 12:00:00+00:00,1015.6,8.60523,13.2
1672578000,2023-01-01 13:00:00+00:00,1016.2,9.021087,11.3
1672581600,2023-01-01 14:00:00+00:00,1016.4,9.404785,11.999999
1672585200,2023-01-01 15:00:00+00:00,1016.3,9.420191,11.9
1672588800,2023-01-01 16:00:00+00:00,1015.9,9.80051,12.5
1672592400,2023-01-01 17:00:00+00:00,1015.4,10.121264,12.7
1672596000,2023-01-01 18:00:00+00:00,1014.7,10.076707,12.8
1672599600,2023-01-01 19:00:00+00:00,1013.7,9.8716755,12.9
1672603200,2023-01-01 20:00:00+00:00,1013.2,10.307764,13.3
1672606800,2023-01-01 21:00:00+00:00,1013.3,10.026465,13.2
1672610400,2023-01-01 22:00:00+00:00,1014.1,9.774457,12.8
1672614000,2023-01-01 23:00:00+00:00,1015.0,9.202173,12.5
1672617600,2023-01-02 00:00:00+00:00,1015.7,8.481155,11.999999
1672621200,2023-01-02 01:00:00+00:00,1016.5,8.309633,10.8
1672624800,2023-01-02 02:00:00+00:00,1016.9,8.7,11.0
1672628400,2023-01-02 03:00:00+00:00,1017.0,8.63713,11.1
1672632000,2023-01-02 04:00:00+00:00,1016.5,9.360556,11.7
1672635600,2023-01-02 05:00:00+00:00,1015.7,9.501578,12.3
1672639200,2023-01-02 06:00:00+00:00,1014.7,9.340771,12.1
1672642800,2023-01-02 07:00:00+00:00,1013.8,10.940292,13.7
1672646400,2023-01-02 08:00:00+00:00,1013.5,11.5,14.6
1672650000,2023-01-02 09:00:00+00:00,1013.6,11.947385,15.1
1672653600,2023-01-02 10:00:00+00:00,1014.2,11.822859,15.4
1672657200,2023-01-02 11:00:00+00:00,1014.8,12.573384,15.800001
1672660800,2023-01-02 12:00:00+00:00,1015.5,12.408464,16.1
1672664400,2023-01-02 13:00:00+00:00,1016.1,11.768601,16.0
1672668000,2023-01-02 14:00:00+00:00,1016.5,11.562439,15.1
1672671600,2023-01-02 15:00:00+00:00,1016.7,10.885311,14.9
1672675200,2023-01-02 16:00:00+00:00,1016.3,11.12205,14.3
1672678800,2023-01-02 17:00:00+00:00,1016.2,11.403947,14.9
1672682400,2023-01-02 18:00:00+00:00,1015.6,11.280072,14.6
1672686000,2023-01-02 19:00:00+00:00,1014.9,12.149074,15.7
1672689600,2023-01-02 20:00:00+00:00,1014.5,12.229881,15.7
1672693200,2023-01-02 21:00:00+00:00,1014.5,12.402016,15.800001
1672696800,2023-01-02 22:00:00+00:00,1014.9,12.267436,16.3
1672700400,2023-01-02 23:00:00+00:00,1015.3,12.886039,16.8
1672704000,2023-01-03 00:00:00+00:00,1016.2,12.254386,16.7
1672707600,2023-01-03 01:00:00+00:00,1017.0,12.193851,16.1
1672711200,2023-01-03 02:00:00+00:00,1017.4,12.316655,15.800001
1672714800,2023-01-03 03:00:00+00:00,1017.1,12.389108,16.1
1672718400,2023-01-03 04:00:00+00:00,1016.9,12.006664,15.9
