dt,date,pressure,wind_speed,wind_gust
1704042000,2023-12-31 17:00:00+00:00,1011.4,3.1400635,4.6
1704045600,2023-12-31 18:00:00+00:00,1011.8,3.6400552,4.3
1704049200,2023-12-31 19:00:00+00:00,1011.2,2.8844411,5.9
1704052800,2023-12-31 20:00:00+00:00,1010.4,1.0440307,4.3
1704056400,2023-12-31 21:00:00+00:00,1009.8,1.8027756,2.8
1704060000,2023-12-31 22:00:00+00:00,1010.3,2.5709922,3.6
1704063600,2023-12-31 23:00:00+00:00,1010.6,3.0364454,4.3
1704067200,2024-01-01 00:00:00+00:00,1011.0,3.2695565,4.7
1704070800,2024-01-01 01:00:00+00:00,1011.6,2.983287,4.3
1704074400,2024-01-01 02:00:00+00:00,1012.2,2.4186773,4.3
1704078000,2024-01-01 03:00:00+00:00,1012.3,2.5317976,3.7
1704081600,2024-01-01 04:00:00+00:00,1012.1,2.5632012,3.7
1704085200,2024-01-01 05:00:00+00:00,1011.4,2.7202942,4.0
1704088800,2024-01-01 06:00:00+00:00,1010.8,2.5553863,3.9
1704092400,2024-01-01 07:00:00+00:00,1009.7,3.2015622,4.1
1704096000,2024-01-01 08:00:00+00:00,1008.9,4.0249224,5.2
1704099600,2024-01-01 09:00:00+00:00,1008.6,4.548626,5.9
1704103200,2024-01-01 10:00:00+00:00,1008.7,4.204759,5.9999995
1704106800,2024-01-01 11:00:00+00:00,1009.3,3.4539833,5.5
1704110400,2024-01-01 12:00:00+00:00,1010.0,3.1016126,4.7
1704114000,2024-01-01 13:00:00+00:00,1010.7,2.863564,5.2
1704117600,2024-01-01 14:00:00+00:00,1011.3,2.5495098,3.8
1704121200,2024-01-01 15:00:00+00:00,1011.5,1.6031219,3.4
1704124800,2024-01-01 16:00:00+00:00,1011.9,1.2083046,2.4
1704128400,2024-01-01 17:00:00+00:00,1011.7,1.7720046,2.4
1704132000,2024-01-01 18:00:00+00:00,1011.0,2.9999998,3.9
1704135600,2024-01-01 19:00:00+00:00,1010.2,3.0413814,4.4
1704139200,2024-01-01 20:00:00+00:00,1009.7,3.130495,4.3
1704142800,2024-01-01 21:00:00+00:00,1009.4,3.3286633,5.3
1704146400,2024-01-01 22:00:00+00:00,1009.7,3.8013155,5.0
1704150000,2024-01-01 23:00:00+00:00,1010.1,4.887739,6.6
1704153600,2024-01-02 00:00:00+00:00,1010.6,3.9115214,6.5
1704157200,2024-01-02 01:00:00+00:00,1011.8,3.0463092,4.5
1704160800,2024-01-02 02:00:00+00:00,1012.3,2.8442926,4.2
1704164400,2024-01-02 03:00:00+00:00,1012.3,2.308679,3.9
1704168000,2024-01-02 04:00:00+00:00,1011.7,2.109502,3.3
1704171600,2024-01-02 05:00:00+00:00,1011.0,3.275668,4.3
1704175200,2024-01-02 06:00:00+00:00,1010.0,3.8948684,5.2
1704178800,2024-01-02 07:00:00+00:00,1008.8,4.561797,5.9999995
1704182400,2024-01-02 08:00:00+00:00,1007.9,4.4271884,6.1
1704186000,2024-01-02 09:00:00+00:00,1007.7,3.2893767,5.9
1704189600,2024-01-02 10:00:00+00:00,1007.9,2.2472205,4.6
