dt,pressure,wind_speed,wind_gust
1672531200,1012.3,1.63,3.0
1672534800,1012.4,1.06,3.5
1672538400,1013.1,0.98,3.2
1672542000,1012.9,2.28,5.9
1672545600,1012.2,2.51,6.6
1672549200,1011.4,2.41,6.7
1672552800,1010.9,2.55,6.8
1672556400,1010.2,2.73,6.8
1672560000,1009.6,1.3,7.0
1672563600,1009.2,0.54,4.1
1672567200,1009.4,0.71,2.6
1672570800,1010.4,0.22,2.5
1672574400,1011.0,2.31,2.7
1672578000,1011.8,2.02,4.5
1672581600,1012.9,1.46,4.1
1672585200,1013.5,1.2,3.2
1672588800,1013.8,1.17,2.9
1672592400,1013.5,1.58,3.6
1672596000,1013.1,1.21,4.0
1672599600,1012.7,2.93,5.9
1672603200,1011.9,2.0,5.7
1672606800,1011.6,0.76,4.1
1672610400,1011.5,0.64,1.9
1672614000,1011.6,0.85,2.0
1672617600,1012.6,1.92,3.7
1672621200,1013.2,1.12,4.0
1672624800,1013.8,0.1,3.2
1672628400,1014.0,1.14,4.1
1672632000,1013.8,2.1,6.0
1672635600,1013.0,0.76,6.0
1672639200,1012.1,0.5,4.5
1672642800,1011.0,1.48,4.7
1672646400,1010.4,0.63,4.8
1672650000,1009.9,0.36,3.4
1672653600,1010.0,0.85,3.2
1672657200,1011.4,0.98,2.8
1672660800,1011.3,1.49,2.3
1672664400,1012.6,1.12,3.1
1672668000,1013.6,0.78,3.4
1672671600,1013.9,0.67,2.0
1672675200,1014.2,1.5,3.2
1672678800,1013.8,1.2,3.2
1672682400,1013.4,1.7,3.5
1672686000,1012.7,0.85,4.2
1672689600,1012.1,0.99,2.6
1672693200,1011.5,1.2,2.9
1672696800,1011.7,0.85,3.0
1672700400,1012.5,1.14,2.9
1672704000,1012.6,1.66,3.3
1672707600,1013.4,0.71,3.5
1672711200,1013.9,0.64,3.0
1672714800,1014.4,1.98,5.4
1672718400,1014.1,2.47,7.0
1672722000,1013.5,1.72,6.2
1672725600,1012.6,0.81,5.0
1672729200,1011.7,1.1,3.9
1672732800,1010.5,0.64,4.1
1672736400,1010.0,0.5,3.2
1672740000,1010.5,0.36,2.7
1672743600,1011.3,0.5,1.7
1672747200,1011.4,1.79,1.9
1672750800,1012.3,1.26,3.7
1672754400,1013.4,0.89,2.9
1672758000,1013.7,1.34,2.8
1672761600,1013.9,1.64,3.5
1672765200,1013.7,2.05,3.9
1672768800,1013.2,1.7,4.3
1672772400,1012.2,2.28,4.7
1672776000,1011.5,1.72,4.6
1672779600,1011.1,1.92,4.0
1672783200,1011.2,1.78,4.1
1672786800,1011.5,1.75,3.7
1672790400,1012.2,1.7,4.0
1672794000,1012.6,1.56,3.8
1672797600,1012.9,0.89,3.7
1672801200,1012.6,0.41,3.5
1672804800,1012.3,1.02,3.8
1672808400,1011.4,2.37,6.1
1672812000,1010.9,2.15,6.4
1672815600,1009.7,2.51,6.3
1672819200,1009.1,2.24,6.4
1672822800,1008.6,1.43,5.6
1672826400,1008.7,0.92,3.8
1672830000,1009.6,0.61,2.4
1672833600,1009.9,0.54,2.1
1672837200,1010.8,1.08,2.5
1672840800,1011.8,2.42,4.7
1672844400,1012.0,2.44,4.9
1672848000,1011.8,2.36,5.4
1672851600,1011.9,2.13,5.3
1672855200,1011.6,1.64,4.6
1672858800,1011.0,2.22,4.8
1672862400,1010.5,1.98,4.8
1672866000,1010.2,2.02,4.2
1672869600,1010.2,2.2,4.6
1672873200,1010.5,1.36,4.4
1672876800,1010.5,1.25,3.1
1672880400,1011.1,1.17,3.1
1672884000,1011.7,0.14,3.2
1672887600,1011.8,1.28,3.9
1672891200,1011.3,1.7,5.2
1672894800,1010.7,1.86,5.6
1672898400,1009.8,0.81,5.5
1672902000,1008.8,1.5,4.6
1672905600,1008.2,2.14,5.7
1672909200,1008.7,0.22,5.4
1672912800,1008.7,1.5,4.7
1672916400,1009.7,0.5,4.2
1672920000,1010.4,2.83,2.6
