dt,date,pressure,wind_speed,wind_gust
1704034800,2023-12-31 15:00:00+00:00,1013.1,6.718631,10.0
1704038400,2023-12-31 16:00:00+00:00,1012.8,7.59276,10.0
1704042000,2023-12-31 17:00:00+00:00,1012.3,7.2993145,10.2
1704045600,2023-12-31 18:00:00+00:00,1012.5,8.523497,11.1
1704049200,2023-12-31 19:00:00+00:00,1012.3,6.3788714,11.2
1704052800,2023-12-31 20:00:00+00:00,1012.7,7.7162166,10.0
1704056400,2023-12-31 21:00:00+00:00,1013.3,7.6118326,10.4
1704060000,2023-12-31 22:00:00+00:00,1014.3,8.731552,11.2
1704063600,2023-12-31 23:00:00+00:00,1014.6,9.158603,12.8
1704067200,2024-01-01 00:00:00+00:00,1014.5,7.3239336,11.999999
1704070800,2024-01-01 01:00:00+00:00,1014.2,6.818357,11.4
1704074400,2024-01-01 02:00:00+00:00,1013.1,7.3375745,9.6
1704078000,2024-01-01 03:00:00+00:00,1012.1,7.242237,9.7
1704081600,2024-01-01 04:00:00+00:00,1011.2,7.5960517,9.9
1704085200,2024-01-01 05:00:00+00:00,1010.8,7.3082147,9.7
1704088800,2024-01-01 06:00:00+00:00,1010.9,7.203471,9.4
1704092400,2024-01-01 07:00:00+00:00,1011.4,6.9231496,9.2
1704096000,2024-01-01 08:00:00+00:00,1012.0,6.530697,8.9
1704099600,2024-01-01 09:00:00+00:00,1012.7,6.6940274,8.5
1704103200,2024-01-01 10:00:00+00:00,1013.2,6.4536815,8.5
1704106800,2024-01-01 11:00:00+00:00,1013.6,6.596969,8.4
1704110400,2024-01-01 12:00:00+00:00,1013.6,6.841052,8.7
1704114000,2024-01-01 13:00:00+00:00,1013.6,6.0415225,7.7
1704117600,2024-01-01 14:00:00+00:00,1013.3,6.0207973,7.7
1704121200,2024-01-01 15:00:00+00:00,1013.0,5.9682493,7.7
1704124800,2024-01-01 16:00:00+00:00,1012.5,6.1204576,7.8
1704128400,2024-01-01 17:00:00+00:00,1012.0,6.1073728,7.9000006
1704132000,2024-01-01 18:00:00+00:00,1011.7,6.477654,8.2
1704135600,2024-01-01 19:00:00+00:00,1011.8,7.1805296,9.1
1704139200,2024-01-01 20:00:00+00:00,1012.0,7.569016,9.5
1704142800,2024-01-01 21:00:00+00:00,1013.0,7.690254,9.9
1704146400,2024-01-01 22:00:00+00:00,1013.9,7.9630394,10.1
1704150000,2024-01-01 23:00:00+00:00,1014.2,7.727872,10.2
1704153600,2024-01-02 00:00:00+00:00,1013.5,7.81089,10.0
1704157200,2024-01-02 01:00:00+00:00,1013.5,7.0880184,9.1
1704160800,2024-01-02 02:00:00+00:00,1012.3,7.4999995,9.5
1704164400,2024-01-02 03:00:00+00:00,1011.2,7.4632435,9.7
1704168000,2024-01-02 04:00:00+00:00,1010.9,7.253276,9.6
1704171600,2024-01-02 05:00:00+00:00,1010.7,7.376313,9.5
1704175200,2024-01-02 06:00:00+00:00,1011.0,7.569016,9.6
1704178800,2024-01-02 07:00:00+00:00,1011.2,7.884795,10.0
1704182400,2024-01-02 08:00:00+00:00,1011.9,8.1024685,10.6
1704186000,2024-01-02 09:00:00+00:00,1012.6,7.6941533,10.4
1704189600,2024-01-02 10:00:00+00:00,1012.9,7.5166483,9.9
1704193200,2024-01-02 11:00:00+00:00,1013.2,7.306162,9.7
1704196800,2024-01-02 12:00:00+00:00,1013.2,7.467262,9.5
1704200400,2024-01-02 13:00:00+00:00,1013.5,6.239391,7.9000006
1704204000,2024-01-02 14:00:00+00:00,1013.1,7.3979726,9.3
1704207600,2024-01-02 15:00:00+00:00,1012.5,7.0213957,9.5
1704211200,2024-01-02 16:00:00+00:00,1012.0,6.3788714,9.0
1704214800,2024-01-02 17:00:00+00:00,1011.6,5.7428217,8.2
1704218400,2024-01-02 18:00:00+00:00,1011.4,5.656854,7.5
1704222000,2024-01-02 19:00:00+00:00,1011.7,6.2968245,8.1
1704225600,2024-01-02 20:00:00+00:00,1012.0,6.708204,8.6
1704229200,2024-01-02 21:00:00+00:00,1012.8,6.609841,8.6
1704232800,2024-01-02 22:00:00+00:00,1014.0,6.8447056,9.0
1704236400,2024-01-02 23:00:00+00:00,1014.6,6.7896976,8.9
1704240000,2024-01-03 00:00:00+00:00,1014.3,6.200806,9.1
1704243600,2024-01-03 01:00:00+00:00,1013.5,6.1522346,7.8
1704247200,2024-01-03 02:00:00+00:00,1012.6,6.562012,8.4
1704250800,2024-01-03 03:00:00+00:00,1011.7,6.747592,8.6
1704254400,2024-01-03 04:00:00+00:00,1011.1,7.125307,9.1
1704258000,2024-01-03 05:00:00+00:00,1011.0,7.2339478,9.4
1704261600,2024-01-03 06:00:00+00:00,1011.6,6.987131,9.3
1704265200,2024-01-03 07:00:00+00:00,1012.0,6.9720874,9.0
1704268800,2024-01-03 08:00:00+00:00,1012.5,7.156815,9.1
1704272400,2024-01-03 09:00:00+00:00,1013.2,7.542546,9.6
1704276000,2024-01-03 10:00:00+00:00,1013.8,7.542546,9.8
1704279600,2024-01-03 11:00:00+00:00,1014.1,7.496666,9.7
1704283200,2024-01-03 12:00:00+00:00,1014.2,7.864477,10.1
1704286800,2024-01-03 13:00:00+00:00,1013.8,7.212489,9.1
1704290400,2024-01-03 14:00:00+00:00,1013.9,6.676077,9.7
1704294000,2024-01-03 15:00:00+00:00,1013.4,7.0213957,9.0
1704297600,2024-01-03 16:00:00+00:00,1012.9,6.963476,9.5
1704301200,2024-01-03 17:00:00+00:00,1012.2,7.863842,10.1
1704304800,2024-01-03 18:00:00+00:00,1012.1,7.376313,10.2
1704308400,2024-01-03 19:00:00+00:00,1012.0,7.2835426,10.0
1704312000,2024-01-03 20:00:00+00:00,1012.0,7.902531,10.1
1704315600,2024-01-03 21:00:00+00:00,1012.5,8.203658,10.5
1704319200,2024-01-03 22:00:00+00:00,1012.9,8.296988,10.5
